Wbox_SKU,Reference,Description,Value,KiCad Footprint,Datasheet,Package,MF_Name,MF_PN,S1_Name,S1_PN,Qty,Verified_FP
100,C, CAP CER 1UF 25V X7R 0603 ,1uF 25V,,http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=TMK107B7105KA-T&fileName=TMK107B7105KA-T_SS&mode=specSheetDownload,0603,Taiyo Yuden, TMK107B7105KA-T ,Digikey, 587-2984-1-ND ,5,No
101,C, CAP CER 1UF 10V X7R 0603 ,1uF 10V,,http://www.samsungsem.com/kr/support/product-search/mlcc/CL10B105KP8NNNC.jsp,0603,Samsung,CL10B105KP8NNNC ,Digikey, 1276-1946-1-ND ,100,No
102,C, CAP CER 2.2UF 10V X7R 0603 ,2.2uF 10V,,http://media.digikey.com/pdf/Data%20Sheets/Taiyo%20Yuden%20PDFs%20URL%20links/LMK107B7225KA-T.pdf,0603,Taiyo Yuden, LMK107B7225KA-T ,Digikey, 587-2983-1-ND ,35,No
103,C, CAP CER 4.7UF 6.3V X7R 0603 ,4.7uF 6.3V,,http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL10B475KQ8NQNC_Spec.pdf,0603,Samsung,CL10B475KQ8NQNC ,Digikey, 1276-2087-1-ND ,2,No
104,C, CAP CER 10UF 25V X7R 1210 ,10uF 25V,,http://www.yuden.co.jp/productdata/catalog/en/mlcc_all_e.pdf,1210,Taiyo Yuden, TMK325B7106KN-TR,Digikey, 587-2599-1-ND ,50,No
105,C, CAP CER 8.2PF 50V NP0 RADIAL ,8.2pF 50V,,http://www.kemet.com/Lists/ProductCatalog/Attachments/52/F3101_GoldMax.pdf,CAP-5MM-RAD,Kemet,C317C829D5G5TA ,Digikey, 399-8923-ND ,7,No
106,C, CAP CER 150PF 50V NP0 RADIAL ,150pF 50V,,http://www.vishay.com/docs/45171/kseries.pdf,CAP-2.5MM-RAD,Vishay BC, K151J15C0GF5TL2 ,Digikey, BC1015CT-ND ,6,No
107,C, CAP CER 2200PF 50V X7R RADIAL ,2.2nF 50V,,https://product.tdk.com/info/en/documents/spec/leadmlccspec_conventional_en.pdf,CAP-5MM-RAD,TDK,FK28X7R1H222K,Digikey, 445-5248-ND ,6,No
108,C, CAP CER 4700PF 50V C0G RADIAL ,4.7pF 50V,,https://product.tdk.com/info/en/documents/catalog/leadmlcc_conventional_fk_en.pdf,CAP-5MM-RAD,TDK,FK28C0G1H472J,Digikey, 445-8585-ND ,6,No
109,C, CAP CER 10000PF 50V C0G RADIAL ,10nF 50V,,https://product.tdk.com/info/en/documents/catalog/leadmlcc_conventional_fk_en.pdf,CAP-2.5MM-RAD,TDK,FK18C0G1H103J ,Digikey, 445-8384-ND ,6,No
110,C, CAP CER 0.033UF 50V C0G RADIAL ,33nF 50V,,https://product.tdk.com/info/en/documents/catalog/leadmlcc_conventional_fk_en.pdf,CAP-5MM-RAD,TDK, FK24C0G1H333J ,Digikey, 445-8490-ND ,8,No
111,C, CAP CER 0.33UF 50V X7R RADIAL ,330nF 50V,,https://product.tdk.com/info/en/documents/catalog/leadmlcc_conventional_fk_en.pdf,CAP-5MM-RAD,TDK,FK24X7R1H334K,Digikey, 445-5263-ND ,9,No
112,C, CAP CER 0.1UF 50V C0G RADIAL ,100nF 50V,,https://product.tdk.com/info/en/documents/catalog/leadmlcc_conventional_fk_en.pdf,CAP-5MM-RAD,TDK,FK26C0G1H104J ,Digikey, 445-8532-ND ,20,No
113,C, CAP CER 1UF 16V X7R RADIAL ,1uF 16V,,https://product.tdk.com/info/en/documents/catalog/leadmlcc_conventional_fk_en.pdf,CAP-5MM-RAD,TDK,FK28X7R1C105K ,Digikey, 445-8614-ND ,4,No
114,C, CAP CER 10UF 16V X5R RADIAL ,10uF 16V,,https://product.tdk.com/info/en/documents/catalog/leadmlcc_conventional_fk_en.pdf,CAP-2.5MM-RAD,TDK,FK14X5R1C106K,Digikey, 445-8290-ND ,8,No
115,C, CAP CER 10UF 25V X7R RADIAL ,10uF 25V,,https://product.tdk.com/info/en/documents/catalog/leadmlcc_conventional_fk_en.pdf,CAP-2.5MM-RAD,TDK,FK16X7R1E106K,Digikey, 445-8351-ND ,3,No
116,C, CAP CER 100UF 6.3V X5R RADIAL ,100uF 6.3V,,https://product.tdk.com/info/en/documents/catalog/leadmlcc_conventional_fk_en.pdf,CAP-5MM-RAD,TDK,FK20X5R0J107M,Digikey, 445-8441-ND ,5,No
117,R, POT 10K OHM 1/5W PLASTIC LINEAR ,TRIMPOT-10K,,http://www.bitechnologies.com/pdfs/p160.pdf,P160-TRIMPOT,TT Electronics, P160KN-0QC15B10K ,Digikey, 987-1301-ND ,7,No
118,R, RES SMD 33 OHM 1% 1/10W 0402 ,33,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ2RKF33R0X+7+WW,0402,Panasonic, ERJ-2RKF33R0X ,Digikey, P33.0LCT-ND ,85,No
119,R, RES SMD 1K OHM 1% 1/10W 0402 ,1K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ2RKF33R0X+7+WW,0402,Panasonic, ERJ-2RKF1001X ,Digikey, P1.00KLCT-ND ,85,No
120,R, RES SMD 4.7K OHM 1% 1/10W 0402 ,4.7K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ2RKF33R0X+7+WW,0402,Panasonic, ERJ-2RKF4701X ,Digikey, P4.70KLCT-ND ,90,No
121,R, RES SMD 10K OHM 1% 1/10W 0402 ,10K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ2RKF33R0X+7+WW,0402,Panasonic, ERJ-2RKF1002X ,Digikey, P10.0KLCT-ND ,85,No
122,R, RES SMD 27K OHM 1% 1/10W 0402 ,27K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ2RKF33R0X+7+WW,0402,Panasonic, ERJ-2RKF2702X ,Digikey, P27.0KLCT-ND ,70,No
123,U, IC MCU 8BIT 8KB FLASH 20SOIC ,ATTINY861V,,http://www.atmel.com/Images/Atmel-2588-8-bit-AVR-Microcontrollers-tinyAVR-ATtiny261-ATtiny461-ATtiny861_Datasheet.pdf,SOIC20,Atmel, ATTINY861V-10SU ,Digikey, ATTINY861V-10SU-ND ,0,No
124,U, ARDUINO PRO MINI 328 – 5V/16MHz,ARDU PRO MINI 5V,,https://www.sparkfun.com/products/11113,ARDUPROMINI,Sparkfun,ARDUINO-PRO-MINI-5V,Sparkfun,DEV-11113,,No
125,U, ADAFRUIT ULTIMATE GPS BREAKOUT V3,GPS MTK3329,,https://www.adafruit.com/products/746,ADAGPSBREAKOUT,Adafruit,ULTIMATE-GPS-BREAKOUT,Adafruit,746,,No
126,R, RES SMD 205K OHM 1% 1/10W 0603 ,205K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ3EKF2053V+7+WW,0603,Panasonic, ERJ-3EKF2053V ,Digikey, P205KHCT-ND ,47,No
127,R, RES SMD 0.0 OHM JUMPER 1/8W 0603 ,0,,http://www.vishay.com/docs/28705/mcx0x0xpro.pdf,0603,Vishay,MCT06030Z0000ZP500 ,Digikey, MCT0603-0.0-ZZCT-ND ,50,No
128,R, RES SMD 1 OHM 5% 1/10W 0603 ,1,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ3GEYJ1R0V+7+WW,0603,Panasonic, ERJ-3GEYJ1R0V ,Digikey, P1.0GCT-ND ,25,No
129,R, RES SMD 200K OHM 5% 1/10W 0603 ,200K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ3GEYJ204V+7+WW,0603,Panasonic, ERJ-3GEYJ204V ,Digikey, P200KGCT-ND ,47,No
130,R, RES SMD 31.6K OHM 1% 1/10W 0603 ,31.6K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ3EKF3162V+7+WW,0603,Panasonic, ERJ-3EKF3162V ,Digikey, P31.6KHCT-ND ,45,No
131,R, RES SMD 10 OHM 1% 1/10W 0603 ,10,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ3EKF10R0V+7+WW,0603,Panasonic, ERJ-3EKF10R0V ,Digikey, P10.0HCT-ND ,35,No
132,R, RES SMD 470 OHM 5% 1/4W 0603 ,470,,http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/esr.pdf,0603,Rohm Semi, ESR03EZPJ471 ,Digikey, RHM470DCT-ND ,20,No
133,R, RES SMD 1K OHM 1% 1/10W 0603 ,1K,,http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/RC_Series_ds.pdf,0603,Samsung,RC1608F102CS,Digikey, 1276-3484-1-ND ,240,No
134,R, RES SMD 16.2K OHM 1% 1/10W 0603 ,16.2K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ3EKF1622V+7+WW,0603,Panasonic, ERJ-3EKF1622V ,Digikey, P16.2KHCT-ND ,45,No
135,R, RES SMD 10K OHM 1% 1/8W 0603 ,10K,,http://www.seielect.com/catalog/SEI-RNCP.pdf,0603,Stackpole, RNCP0603FTD10K0,Digikey, RNCP0603FTD10K0CT-ND ,70,No
136,R, RES SMD 2K OHM 1% 1/8W 0603 ,2K,,http://www.seielect.com/catalog/SEI-RNCP.pdf,0603,Stackpole,RNCP0603FTD2K00,Digikey, RNCP0603FTD2K00CT-ND ,100,No
137,R, RES 33 OHM 1/4W 5% CARBON FILM ,33,,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,CF14,Stackpole,CF14JT33R0 ,Digikey, CF14JT33R0CT-ND ,45,No
138,R, RES 10K OHM 1/4W 5% CF MINI ,10K,,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,CFM14,Stackpole,CFM14JT10K0,Digikey, S10KQCT-ND ,90,No
139,R, RES 82K OHM 1/4W 5% CF MINI ,82K,,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,CFM14,Stackpole,CFM14JT82K0,Digikey, S82KQCT-ND ,90,No
140,R, RES 150 OHM 1/4W 5% CF MINI ,150,,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,CFM14,Stackpole,CFM14JT150R ,Digikey, S150QCT-ND ,90,No
141,R, RES 18K OHM 1/4W 5% CF MINI ,18K,,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,CFM14,Stackpole,CFM14JT18K0 ,Digikey, S18KQCT-ND ,90,No
142,R, RES 1K OHM 1/4W 5% CF MINI ,1K,,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,CFM14,Stackpole,CFM14JT1K00,Digikey, S1KQCT-ND ,75,No
143,R, RES 220 OHM 1/4W 5% CF MINI ,220,,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,CFM14,Stackpole, S220QCT-ND ,Digikey, CFM14JT220R ,90,No
144,R, RES SMD 10K OHM 5% 1/8W 0805 ,10K,,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_3.pdf,0805,Yageo, RC0805JR-0710KL ,Digikey, 311-10KARCT-ND ,90,No
145,-,RASPBERRY PI B+ ,RASPIB+,,,,,,,,2,No
146,-,WIFI USB DONGLE,,,,,,,,,1,No
147,-,FULL SIZE SD CARD,,,,,,,,,1,No
148,J, CONN MICRO SD CARD HINGED TYPE ,SD CARD,,http://www.molex.com/pdm_docs/sd/5009010801_sd.pdf,SD-5009010801,Molex,5009010801,Digikey, WM19081CT-ND ,5,No
149,U, IC 8-BIT SHIFT REGISTER 16-DIP ,74HC595,,http://www.ti.com/lit/ds/symlink/sn74hc595.pdf,DIP16,TI,SN74HC595N ,Digikey, 296-1600-5-ND ,8,No
150,U,WATTUINO NANITE841,NANITE841,,https://github.com/watterott/wattuino,DIP8,Waterott,NANITE85,Waterott,WATTUINO-NANITE85,1,No
151,-,ESP8266 THING,ESP8266 THING,,https://www.sparkfun.com/products/13231,THINGBOARD,Sparkfun,13231,Sparkfun,13231,1,No
152,-,BADGERSTICK,BADGERSTICK,,https://learn.sparkfun.com/tutorials/badgerhack,BADGERSTICK,Sparkfun,BADGERSTICK,Sparkfun,BADGERSTICK,1,No
153,U,ADAFRUIT PRO TRINKET 5V HACKADAY VERSION,ADAFRUIT PRO MINI 5V,,https://www.adafruit.com/products/2000,ADAPROMINI,Adafruit,2000,Adafruit,2000,3,No
154,U,ARDUINO UNO R3,ARDUINO UNO R3,,https://www.adafruit.com/products/50,ARDU-UNOSHIELD,Arduino,UNO R3,Adafruit,50,2,No
155,U,TEENSY 3.1 32BIT 72MHZ,TEENSY3.1,,https://www.pjrc.com/teensy/,TEENSY3.1,PJRC,TEENSY3.1,PJRC,TEENSY3.1,3,No
156,U,TEENSY 2.0 8BIT  16MHZ,TEENSY2.0,,https://www.pjrc.com/teensy/,TEENSY2.0,PJRC,TEENSY2.0,PJRC,TEENSY2.0,1,No
157,-,BNC MALE TO SMA MALE 1FOOT,BNC,,http://www.amphenolconnex.com/downloads/dl/file/id/5270/245101_01_xx_xx_customer_drawing.pdf,,Amphenol, 245101-04-12.00 ,Digikey, ACX1721-ND ,4,No
158,J, CONN SMA JACK R/A 50 OHM PCB ,SMA,,http://drawings.amphenolrf.com/Customer_Outline/C901-143-6RFX.pdf,SMA-RA,Amphenol, 901-143-6RFX ,Digikey, ARFX1232-ND ,8,No
159,J, CONN SMA JACK STR 50 OHM SMD/TH ,SMA,,http://www.amphenolrf.com/downloads/dl/file/id/7177/product/2977/132134_15_customer_drawing.pdf,SMA,Amphenol, 132134-15 ,Digikey, ACX1962-ND ,1,No
160,J, CONN BNC JACK R/A 50 OHM PCB ,BNC,,http://www.molex.com/pdm_docs/sd/731000105_sd.pdf,BNC-RA,Molex,731000105,Digikey, WM5524-ND ,3,No
161,S, SWITCH TACT NAV 4DIR W/SELECT ,TPA511GS,,http://media.digikey.com/pdf/Data%20Sheets/C&K/TPA%20Series.pdf,TPA511GS,C&K, TPA511GLFS ,Digikey, 401-1130-1-ND ,4,No
162,-, CAP NAVIGATION ROUND BLACK ,CAP,,http://media.digikey.com/pdf/Data%20Sheets/C&K/TPA%20Series.pdf,,C&K, BOUTON TPA ,Digikey, 401-1997-ND ,4,No
163,S, SWITCH TACTILE SPST-NO 0.05A 12V ,B3U-1000P,,http://www.omron.com/ecb/products/pdf/en-b3u.pdf,B3U-1000P,Omron, B3U-1000P ,Digikey, SW1020CT-ND ,9,No
164,S, SWITCH TACTILE SPST-NO 0.05A 24V , FSMSM,,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1437566-3&DocType=Customer+Drawing&DocLang=English,FSMSM,TE Conn, FSMSMTR ,Digikey, 450-1758-1-ND ,23,No
165,S, SWITCH TOGGLE SPDT 5A 120V ,100SP3,,https://www.e-switch.com/system/asset/product_line/data_sheet/129/100.pdf,100SP3,E-Switch,100SP3T1B1M2QEH ,Digikey, EG2377-ND ,3,No
166,S, SWITCH SLIDE SPDT 100MA 12V ,OS102011MA1QN1 ,,http://www.ck-components.com/14388/os_19jan15.pdf/,OS102011MA1QN1 ,C&K,OS102011MA1QN1,Digikey, CKN9559-ND ,9,No
167,S, SWITCH TACTILE SPST-NO 0.05A 12V , RS-032G05A3-SM RT ,,http://media.digikey.com/pdf/Data%20Sheets/C&K/RS-032G05_-SM_RT.pdf,RS-32G05A3-SM,C&K, RS-032G05A3-SM RT ,Digikey, CKN10388CT-ND ,20,No
168,R, TRIMMER 10K OHM 0.1W SMD ,TRIMPOT-10K,,http://www.bourns.com/docs/Product-Datasheets/TC33.pdf,TC33X,Bourns, TC33X-2-103E ,Digikey, TC33X-103ECT-ND ,9,No
169,S, SWITCH TACTILE SPST-NO 0.05A 24V , B3F-1000 ,,http://www.omron.com/ecb/products/pdf/en-b3f.pdf,B3F-1000,Omron,B3F-1000,Digikey, SW400-ND ,24,No
170,S, SWITCH ROCKER SPST 10A 125V ,RA1 ROCKER,,https://www.e-switch.com/system/asset/product_line/data_sheet/81/RA1.pdf,RA1-ROCKER,E-Switch,RA11131100,Digikey, RA11131100-ND ,8,No
171,S,THRU-HOLE 5-WAY NAVIGATION SWITCH,5WAY-SWITCH,,https://www.adafruit.com/products/504,5WAY-NAV-SWITCH,Adafruit,SKQUCAA010,Adafruit,504,5,No
172,U,Adafruit Wave Shield for Arduino v1.1,ARDUINOSHIELD,,https://www.adafruit.com/product/94,ARDU-UNOSHIELD,Adafruit,94,Adafruit,94,1,No
173,U,Adafruit Motor/Stepper/Servo Shield v2.3,ARDUINOSHIELD,,https://www.adafruit.com/products/1438,ARDU-UNOSHIELD,Adafruit,1438,Adafruit,1438,1,No
174,U,Standalone AVR ISP Programmer Shield Kit,ARDUINOSHIELD,,https://www.adafruit.com/products/462,ARDU-UNOSHIELD,Adafruit,462,Adafruit,462,1,No
175,U,"Adafruit 1.8"" Color TFT Shield w/microSD and Joystick",ARDUINOSHIELD,,https://www.adafruit.com/product/802,ARDU-UNOSHIELD,Adafruit,802,Adafruit,802,1,No
176,U,MAX31855 Breakout Board v2,MAX31855,,https://www.adafruit.com/products/269,ADAMAX31855BKOUT,Adafruit,269,Adafruit,269,1,No
177,U, RES 33 OHM 1/2W 5% AXIAL ,33 1/2W ,,http://www.yageo.com/documents/recent/Yageo%20LR_CFR_2013.pdf,RES-CFR-0.5W,Yageo, CFR-50JB-52-33R ,Digikey, 33H-ND ,2,No
178,-,Minnow Board Development Kit,,,,,,,,,,No
179,SPK, SPEAKER 8 OHM .25W 23MM ROUND ,8ohm 0.25W 23mm,,http://www.mallory-sonalert.com/specifications/PSR-23F08S-JQ.PDF,PSR-2WIRE,Mallory Sonalert, PSR-23F08S-JQ ,Digikey, 458-1124-ND ,4,No
180,B,Lithium Ion Polymer Battery - 3.7v 150mAh,LiPo 3.7V 150mAh,,https://cdn-shop.adafruit.com/product-files/1317/C1515_-_Li-Polymer_402025_150mAh_3.7V_with_PCM.pdf,JST2,PKCELL,LP402025,Adafruit,1317,2,No
181,B,Lithium Ion Polymer Battery - 3.7v 500mAh,LiPo 3.7V 500mAh,,https://cdn-shop.adafruit.com/product-files/1578/C1854+PKCell+Datasheet+Li-Polymer+503035+500mAh+3.7V+with+PCM.pdf,JST2,PKCELL,LP503035,Adafruit,1578,2,No
182,J, CR2032 BATTERY STRAP SMT  FLATPIN,CR2032,,http://www.memoryprotectiondevices.com/datasheets/BC-2003-datasheet.pdf,CR2032-BC-2003,MPD, BC-2003-TR ,Digikey, BC-2003-TR-CT-ND ,2,No
183,J,2PIN 4” JST Cables,JST2,,https://www.adafruit.com/products/261,JST2,Adafruit,261,Adafruit,261,4,No
184,-,USB LiIon/LiPoly charger – v1.2,,,,,Adafruit,259,Adafruit,259,3,No
185,J,HEADER FEMALE 18POS 2x9 2MM,CONN-2x09,,"http://media.digikey.com/pdf/Data%20Sheets/Sullins%20PDFs/NPPNxx2GFNx-RC,%2010484(1).pdf",CONN-2x09-2MM,Sullins, NPPN092GFNP-RC ,Digikey, S6013-09-ND ,5,No
186,J,HEADER MALE 20POS 1x20 2MM ,CONN-1x20,,https://cdn.harwin.com/pdfs/M22-251.pdf,CONN-1x20-2MM,Harwin, M22-2512005 ,Digikey, 952-1892-ND ,10,No
187,J,HEADER FEMALE 10POS 2x5 2MM,CONN-2x05,,http://www.sullinscorp.com/images/NPPNxx2FFKx-RC-10485.pdf,CONN-2x05-2MM,Sullins, NPPN052FFKS-RC ,Digikey, S6010-05-ND ,5,No
188,J,HEADER FEMALE 6POS 2x3 0.1” ,CONN-2x03,,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=215079&DocType=Customer+Drawing&DocLang=English,CONN-215079-6,TE Conn, 7-215079-6 ,Digikey, A30729CT-ND ,10,No
189,J,HEADER FEMALE 4POS 2x2 0.1”,CONN-2x02,,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=215079&DocType=Customer+Drawing&DocLang=English,CONN-215079-4 ,TE Conn, 7-215079-4 ,Digikey, A99472CT-ND ,20,No
190,J,HEADER FEMALE 30POS 2x15 0.05” TH KEYED,CONN-2x15,,http://suddendocs.samtec.com/catalog_english/sfm.pdf,SFML-115-01-S-D,Samtek, SFML-115-01-S-D ,Digikey, SAM8711-ND ,4,No
191,J,HEADER FEMALE 30POS 2x15 0.05” SMT KEYED,CONN-1x01,,http://suddendocs.samtec.com/catalog_english/sfm.pdf,SFML-115-T2-S-D,Samtek, SFML-115-T2-S-D ,Digikey, SAM8244-ND ,4,No
192,-,MCP4725 Breakout Board 12Bit DAC with I2C,,,https://www.adafruit.com/products/935,,Adafruit,935,Adafruit,935,1,No
193,J,HEADER FEMALE 2POS TH 1x02 0.1”,CONN-1x02,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x02-2.54MM-TH,Harwin, M20-7820246 ,Digikey, 952-1776-ND ,Many,No
194,J,HEADER FEMALE 3POS TH 1x03 0.1”,CONN-1x03,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x03-2.54MM-TH,Harwin, M20-7820246 ,Digikey, 952-1784-ND ,Many,No
195,J,HEADER FEMALE 4POS TH 1x04 0.1” ,CONN-1x04,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x04-2.54MM-TH,Harwin, M20-7820446 ,Digikey, 952-1792-ND ,Many,No
196,J,HEADER FEMALE 5POS TH 1x05 0.1” ,CONN-1x05,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x05-2.54MM-TH,Harwin, M20-7820542 ,Digikey, 952-1801-ND ,Many,No
197,J,HEADER FEMALE 6POS TH 1x06 0.1” ,CONN-1x06,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x06-2.54MM-TH,Harwin, M20-7820642 ,Digikey, 952-1808-ND ,Many,No
198,J,HEADER FEMALE 7POS TH 1x07 0.1” ,CONN-1x07,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x07-2.54MM-TH,Harwin, M20-7822046 ,Digikey, 952-1905-ND ,Many,No
199,J,HEADER FEMALE 8POS TH 1x08 0.1” ,CONN-1x08,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x08-2.54MM-TH,Harwin, M20-7820842 ,Digikey, 952-1823-ND ,Many,No
200,J,HEADER FEMALE 9POS TH 1x09 0.1” ,CONN-1x09,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x09-2.54MM-TH,Harwin, M20-7822046 ,Digikey, 952-1905-ND ,Many,No
201,J,HEADER FEMALE 10POS TH 1x10 0.1” ,CONN-1x10,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x10-2.54MM-TH,Harwin, M20-7821042 ,Digikey, 952-1846-ND ,Many,No
202,J,HEADER FEMALE 11POS TH 1x11 0.1” ,CONN-1x11,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x11-2.54MM-TH,Harwin, M20-7822046 ,Digikey, 952-1905-ND ,Many,No
203,J,HEADER FEMALE 12POS TH 1x12 0.1” ,CONN-1x12,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x12-2.54MM-TH,Harwin, M20-7822046 ,Digikey, 952-1905-ND ,Many,No
204,J,HEADER FEMALE 13POS TH 1x13 0.1” ,CONN-1x13,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x13-2.54MM-TH,Harwin, M20-7822046 ,Digikey, 952-1905-ND ,Many,No
205,J,HEADER FEMALE 14POS TH 1x14 0.1” ,CONN-1x14,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x14-2.54MM-TH,Harwin, M20-7822046 ,Digikey, 952-1905-ND ,Many,No
206,J,HEADER FEMALE 15POS TH 1x15 0.1” ,CONN-1x15,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x15-2.54MM-TH,Harwin, M20-7822046 ,Digikey, 952-1905-ND ,Many,No
