Wbox_SKU,Reference,Description,Value,KiCad Footprint,Datasheet,Package,MF_Name,MF_PN,S1_Name,S1_PN,Qty,Verified_FP
207,J,HEADER FEMALE 16POS TH 1x16 0.1” ,CONN-1x16,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x16-2.54MM-TH,Harwin, M20-7822046 ,Digikey, 952-1905-ND ,Many,No
208,J,HEADER FEMALE 17POS TH 1x17 0.1” ,CONN-1x17,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x17-2.54MM-TH,Harwin, M20-7822046 ,Digikey, 952-1905-ND ,Many,No
209,J,HEADER FEMALE 18POS TH 1x18 0.1” ,CONN-1x18,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x18-2.54MM-TH,Harwin, M20-7822046 ,Digikey, 952-1905-ND ,Many,No
210,J,HEADER FEMALE 19POS TH 1x19 0.1” ,CONN-1x19,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x19-2.54MM-TH,Harwin, M20-7822046 ,Digikey, 952-1905-ND ,Many,No
211,J,HEADER FEMALE 20POS TH 1x20 0.1” ,CONN-1x20,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x20-2.54MM-TH,Harwin, M20-7822046 ,Digikey, 952-1905-ND ,Many,No
212,J,HEADER FEMALE 25POS TH 1x25 0.1” ,CONN-1x25,,"http://www.sullinscorp.com/drawings/78_P(N)PxCxxxLFBN-RC,_10492-H.pdf",CONN-1x25-2.54MM-TH,Harwin, PPTC251LFBN-RC ,Digikey, S7023-ND ,Many,No
213,J,HEADER MALE 1POS ,CONN-1x01,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x01-2.54MM-TH,Harwin, M20-9992046 ,Digikey, 952-1902-ND ,Many,No
214,J,HEADER MALE 2POS TH 1x02 0.1”,CONN-1x02,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x02-2.54MM-TH,Harwin, M20-9990246,Digikey, 952-2262-ND,Many,No
215,J,HEADER MALE 3POS TH 1x03 0.1”,CONN-1x03,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x03-2.54MM-TH,Harwin, M20-9992046 ,Digikey, 952-1902-ND ,Many,No
216,J,HEADER MALE 4POS TH 1x04 0.1” ,CONN-1x04,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x04-2.54MM-TH,Harwin, M20-9992046 ,Digikey, 952-1902-ND ,Many,No
217,J,HEADER MALE 5POS TH 1x05 0.1” ,CONN-1x05,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x05-2.54MM-TH,Harwin, M20-9992046 ,Digikey, 952-1902-ND ,Many,No
218,J,HEADER MALE 6POS TH 1x06 0.1” ,CONN-1x06,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x06-2.54MM-TH,Harwin, M20-9992046 ,Digikey, 952-1902-ND ,Many,No
219,J,HEADER MALE 7POS TH 1x07 0.1” ,CONN-1x07,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x07-2.54MM-TH,Harwin, M20-9992046 ,Digikey, 952-1902-ND ,Many,No
220,J,HEADER MALE 8POS TH 1x08 0.1” ,CONN-1x08,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x08-2.54MM-TH,Harwin, M20-9992046 ,Digikey, 952-1902-ND ,Many,No
221,J,HEADER MALE 9POS TH 1x09 0.1” ,CONN-1x09,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x09-2.54MM-TH,Harwin, M20-9992046 ,Digikey, 952-1902-ND ,Many,No
222,J,HEADER MALE 10POS TH 1x10 0.1” ,CONN-1x10,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x10-2.54MM-TH,Harwin, M20-9992046 ,Digikey, 952-1902-ND ,Many,No
223,J,HEADER MALE 11POS TH 1x11 0.1” ,CONN-1x11,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x11-2.54MM-TH,Harwin, M20-9992046 ,Digikey, 952-1902-ND ,Many,No
224,J,HEADER MALE 12POS TH 1x12 0.1” ,CONN-1x12,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x12-2.54MM-TH,Harwin, M20-9992046 ,Digikey, 952-1902-ND ,Many,No
225,J,HEADER MALE 13POS TH 1x13 0.1” ,CONN-1x13,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x13-2.54MM-TH,Harwin, M20-9992046 ,Digikey, 952-1902-ND ,Many,No
226,J,HEADER MALE 14POS TH 1x14 0.1” ,CONN-1x14,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x14-2.54MM-TH,Harwin, M20-9992046 ,Digikey, 952-1902-ND ,Many,No
227,J,HEADER MALE 15POS TH 1x15 0.1” ,CONN-1x15,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x15-2.54MM-TH,Harwin, M20-9992046 ,Digikey, 952-1902-ND ,Many,No
228,J,HEADER MALE 16POS TH 1x16 0.1” ,CONN-1x16,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x16-2.54MM-TH,Harwin, M20-9992046 ,Digikey, 952-1902-ND ,Many,No
229,J,HEADER MALE 17POS TH 1x17 0.1” ,CONN-1x17,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x17-2.54MM-TH,Harwin, M20-9992046 ,Digikey, 952-1902-ND ,Many,No
230,J,HEADER MALE 18POS TH 1x18 0.1” ,CONN-1x18,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x18-2.54MM-TH,Harwin, M20-9992046 ,Digikey, 952-1902-ND ,Many,No
231,J,HEADER MALE 19POS TH 1x19 0.1” ,CONN-1x19,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x19-2.54MM-TH,Harwin, M20-9992046 ,Digikey, 952-1902-ND ,Many,No
232,J,HEADER MALE 20POS TH 1x20 0.1” ,CONN-1x20,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x20-2.54MM-TH,Harwin, M20-9992046 ,Digikey, 952-1902-ND ,Many,No
233,J,HEADER MALE 25POS TH 1x25 0.1” ,CONN-1x25,,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-1x25-2.54MM-TH,Harwin, M20-9992046 ,Digikey, 952-1902-ND ,Many,No
234,J,"HEADER MALE 12POS TH .100"" R/A ",CONN-3x04,,http://suddendocs.samtec.com/catalog_english/tsw_th.pdf,CONN-3x04-2.54MM-TH-RA,Samtec, TSW-104-09-F-T-RA ,Digikey, TSW-104-09-F-T-RA-ND ,4,No
235,-,CABLE END FEMALE CRIMP HOUSING 6POS ,,,https://cdn.harwin.com/pdfs/M20-106.pdf,,Harwin, M20-1060600 ,Digikey, 952-2231-ND ,9,No
236,J,HEADER MALE SHROUDED 10POS 2x5 0.1” KEY JTAG,CONN-2x5-JTAG,,http://multimedia.3m.com/mws/mediawebserver?6666660Zjcf6lVs6EVs666UdhCOrrrrQ-,CONN-2x05-3M-JTAG,3M, 30310-6002HB ,Digikey, 30310-6002HB-ND ,4,No
237,J, HEADER FEMALE 50POS STRAIGHT 0.1”  KEYED,CONN-2x25,,http://www.components.omron.com/components/web/pdflib.nsf/0/1D642D622E2FDCF685257201007DD590/$file/XG4_0914.pdf,CONN-2x25-XG4-KEY,Omron, XG4H-5031 ,Digikey, OR1106-ND ,8,No
238,J,HEADER FEMALE 20POS TH 2x20 0.1”,CONN-2x20,,"http://www.sullinscorp.com/drawings/78_P(N)PxCxxxLFBN-RC,_10492-H.pdf",CONN-2x20-2.54MM-TH,Sullins, PPPC102LFBN-RC ,Digikey, S6106-ND ,11,No
239,JP," SHUNT JUMPER .1"" BLACK GOLD ",2PIN-SHUNT,,http://multimedia.3m.com/mws/mediawebserver?66666UuZjcFSLXTtNxTElXf6EVuQEcuZgVs6EVs6E666666--,CONN-1x02-2.54MM-TH,3M, 969102-0000-DA ,Digikey, 3M9580-ND ,35,No
240,-,Shield stacking headers for Arduino,,,https://www.adafruit.com/product/85,,Adafruit,85,Adafruit,85,Lots,No
241,U,Adafruit Proto Shield Stackable for Uno R3,ARDUINOSHIELD,,https://www.adafruit.com/products/2077?,ARDU-UNOSHIELD,Adafruit,2077,Adafruit,2077,1,No
242,U,Adafruit FT232H USB to GPIO+SPI+I2C,,,https://www.adafruit.com/products/2264,ADAFT232HBKOUT,Adafruit,2264,Adafruit,2264,2,No
243,LCD,LCD MODULE 16X2 CHARACTER 1602,LCD-1602,,,LCD-1602,,,,,0,No
244,LCD,LCD MODULE 16X2 CHARACTER 1602A,LCD-1602A,,https://www.adafruit.com/datasheets/TC1602A-01T.pdf,LCD-1602A,Tinsharp ,TC1602A-09T,Adafruit,181,4,No
245,LCD,LCD MODULE 16X2 CHARACTER 1602B,LCD-1602B,,,LCD-1602B,,,,,0,No
246,U,SD CARD SHIELD V4.2,ARDUINOSHIELD,,http://www.seeedstudio.com/wiki/SD_Card_shield_V4.0,ARDU-UNOSHIELD,Seeed Studio,103030005,Seeed Studio,103030005,1,No
247,U,FTDI Friend FT232R Breakout,FTDIFRIEND,,https://www.sparkfun.com/products/9716,FTDIFRIEND,Sparkfun,09716,Sparkfun,09716,1,No
248,J,3x4 Phone-style Matrix Keypad,8PIN-KEYPAD,,https://www.adafruit.com/products/1824?gclid=CP3SyvWd4ssCFVBffgodT5YP6Q,KEYPAD-8PIN-2.54MM-TH,Adafruit,1824,Adafruit,1824,1,No
249,LED, LED GREEN/RED CLEAR ROUND T/H ,GREEN-RED,,http://www.kingbrightusa.com/images/catalog/SPEC/WP59EGC.pdf,LED-5MMD-3PIN-2.54MMP,Kingbright,WP59EGC,Digikey, 754-1471-ND ,10,No
250,LED, LED GREEN/RED CLEAR 4PLCC SMD ,GREEN-RED,,http://katalog.we-online.de/led/datasheet/150141RV73100.pdf,LED-4PLCC,Wurth, 150141RV73100 ,Digikey, 732-5001-1-ND ,6,No
251,LED, LED GRN/RED DIFF 5MM ROUND T/H ,GREEN-RED,,http://www.sunledusa.com/products/spec/XLUGR59M.pdf,LED-5MMD-3PIN-2.54MMP,SunLED,XLUGR59M ,Digikey, 1497-1027-ND ,10,No
252,LED, LED GRN/YLW DIFF 3MM ROUND T/H ,GREEN-YELLOW,,http://www.kingbrightusa.com/images/catalog/SPEC/WP115WGYW.pdf,LED-3MM-3PIN,Kingbright,WP115WGYW,Digikey, 754-1864-ND ,10,No
253,LED, LED GRN/RED/YLW CLEAR 4PLCC SMD ,GRN-RED-YLW,,http://www.bivar.com/portals/0/products/SMP4-SRGY.pdf,LED-4PLCC,Bivar Inc, SMP4-SRGY ,Digikey, 492-1227-1-ND ,3,No
254,LED, LED GREEN/YLW CLEAR 1210 SMD ,GREEN-YELLOW,,http://optoelectronics.liteon.com/upload/download/DS-22-98-0007/S_110_LTST-C155GYKT.pdf,LED-LTST-CHIP,Lite-On, LTST-C155GYKT ,Digikey, 160-1171-1-ND ,10,No
255,LED, LED GRN/YLW DIFF 3MM ROUND T/H ,GREEN-YELLOW,,http://www.sunledusa.com/products/spec/XLUGY34M.pdf,LED-3MM-3PIN,SunLED, XLUGY34M ,Digikey, 1497-1028-ND ,10,No
256,LED, LED GREEN/YLW CLEAR 0606 SMD ,GREEN-YELLOW,,http://www.kingbrightusa.com/images/catalog/SPEC/APTB1615SYKCGKC-F01.pdf,LED-APTB-CHIP,Kingbright, APTB1615SYKCGKC-F01 ,Digikey, 754-1150-1-ND ,10,No
257,U, IC MCU 8BIT 8KB FLASH 8PDIP ,ATTINY85,,http://www.atmel.com/Images/Atmel-2586-AVR-8-bit-Microcontroller-ATtiny25-ATtiny45-ATtiny85_Datasheet.pdf,DIP8,Atmel, ATTINY85-20PU ,Digikey, ATTINY85-20PU-ND ,10,No
258,U, IC MCU 8BIT 8KB FLASH 8SOIC ,ATTINY85,,http://www.atmel.com/Images/Atmel-2586-AVR-8-bit-Microcontroller-ATtiny25-ATtiny45-ATtiny85_Datasheet.pdf,SOIC8,Atmel, ATTINY85-20SU ,Digikey, ATTINY85-20SU-ND ,10,No
259,D, DIODE ZENER 3.6V 1W DO41 ,3.6V,,http://www.fairchildsemi.com/datasheets/BZ/BZX85C10.pdf,DO41,Fairchild,BZX85C3V6 ,Digikey, BZX85C3V6-ND ,20,No
260,D, TVS DIODE SOT5 ,5.5V/11V,,http://www.ti.com/lit/ds/symlink/tpd3e001.pdf,SOT5,TI, TPD3E001DRLR ,Digikey, 296-21885-1-ND ,10,No
261,S, SWITCH SLIDE SPDT 200MA 30V ,SLIDE,,https://www.e-switch.com/system/asset/product_line/data_sheet/119/EG.pdf,EG1218,E-Switch,EG1218 ,Digikey, EG1903-ND ,10,No
262,U, IC REG LDO 3.3V 0.5A 5SSOP ,BU33SD5WG,,http://rohmfs.rohm.com/en/products/databook/datasheet/ic/power/linear_regulator/buxxsd5wg-e.pdf,SSOP5,Rohm Semi, BU33SD5WG-TR ,Digikey, BU33SD5WG-TRCT-ND ,10,No
263,R, RES SMD 220 OHM 5% 1/10W 0402 ,220,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ2GEJ221X+7+WW,0402,Panasonic, ERJ-2GEJ221X ,Digikey, P220JCT-ND ,500,No
264,R, RES 220 OHM 1/4W 5% CARBON FILM ,220,,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,CF14,Stackpole, CF14JT220R,Digikey, CF14JT220RCT-ND ,100,No
265,U,TEENSY 3.2 32BIT 72MHZ,TEENSY3.2,,https://www.pjrc.com/teensy/,TEENSY3.2,PJRC,TEENSY3.2,PJRC,TEENSY3.2,1,No
266,B, CR2032 BATTERY STRAP SMT PC PINS,CR2032,,http://www.memoryprotectiondevices.com/datasheets/BC-2003-datasheet.pdf,CR2032-BC-2400,MPD, BC-2400 ,Digikey, BC-2400-ND ,100,No
267,J,USB MICRO-B RECEPTACLE 5PIN SMT R/A STUDS,USB-MICRO,,http://portal.fciconnect.com/Comergent//fci/drawing/10118193.pdf,USB-10118193,Amphenol, 10118193-0001LF ,Digikey, 609-4616-1-ND ,50,No
268,R, RES SMD 0.0 OHM JUMPER 1/8W 0805 ,0 ohm,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ6GEY0R00V+7+WW,0805,Panasonic, ERJ-6GEY0R00V ,Digikey, P0.0ACT-ND ,0,No
269,R, RES SMD 220K OHM 5% 1/8W 0805 ,220K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ6GEYJ224V+7+WW,0805,Panasonic, ERJ-6GEYJ224V ,Digikey, P220KACT-ND ,0,No
270,R, RES SMD 1.5K OHM 5% 1/8W 0805 ,1.5K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ6GEYJ152V+7+WW,0805,Panasonic, ERJ-6GEYJ152V ,Digikey, P1.5KACT-ND ,0,No
271,J, CONN PWR JACK 2.0X6.5MM HIGH CUR ,BARRELJACK,,http://www.cui.com/product/resource/digikeypdf/pj-202ah.pdf,PJ-202AH,Panasonic, PJ-202AH ,Digikey, CP-202AH-ND ,0,No
272,C, CAP CER 10UF 16V X7R 0805 ,10uF 16V,,http://www.samsungsem.com/kr/front/downloadcms.do?path=/kr/support/product-search/mlcc/__icsFiles/afieldfile/2014/11/05&fileName=C_CL21B104KACNNNC.pdf,0805,Samsung,CL21B106KOQNNNE ,Digikey, 1276-2872-1-ND ,0,No
273,C, CAP CER 0.1UF 25V X7R 0805 ,100nF 25V,,http://www.samsungsem.com/kr/front/downloadcms.do?path=/kr/support/product-search/mlcc/__icsFiles/afieldfile/2014/11/05&fileName=C_CL21B104KACNNNC.pdf,0805,Samsung, CL21B104KACNNNC ,Digikey, 1276-1099-1-ND ,0,No
274,C, CAP CER 1UF 25V X7R 0805 ,1uF 25V,,http://www.samsungsem.com/kr/front/downloadcms.do?path=/kr/support/product-search/mlcc/__icsFiles/afieldfile/2014/11/05&fileName=C_CL21B104KACNNNC.pdf,0805,Samsung,CL21B105KAFNNNE,Digikey, 1276-1066-1-ND ,0,No
275,U, STN1110 OBD-II TO UART IC ,STN1110,,https://www.scantool.net/development-tools/obd-chips/stn1110/,QFN28,ScanTool,STN1110-QFN28,ScanTool,365121,0,No
276,-,OBD DEVELOPMENT KIT,-,,https://www.scantool.net/obd-development-kit/,-,ScanTool,OBD-DEV-KIT,ScanTool,443000-148202,1,No
277,- ,OBD-II TO DB9 CABLE,- ,,-,-,ScanTool,-,ScanTool,-,1,No
278,J,EM-506 GPS RECEIVER ,EM-506 GPS,,http://cdn.sparkfun.com/datasheets/GPS/EM506_um.pdf,EM-506-GPS,Sparkfun,EM-506,Sparkfun,GPS-12751,1,No
279,J,ARDUINO 101,ARDUINO 101,,https://www.adafruit.com/products/2891,ARDU-UNOSHIELD,Arduino,Arduino 101,Adafruit,2891,1,No
280,J,ADAFRUIT FONA 808 + GPS,FONA 808 ,,https://www.adafruit.com/products/2542,FONA808-GPS,Adafruit,FONA808+GPS,Adafruit,2542,1,No
281,-,CONN UMC UFL JACK STR 50 OHM SMD ,UFL ANT,,http://media.digikey.com/pdf/Data%20Sheets/Hirose%20PDFs/UFL%20Series.pdf,UFL,Hirose, U.FL-R-SMT-1(01) ,Digikey, H122041-ND ,0,No
282,-,VIBE MOTOR MINI DISC,VIBE MOTOR,,https://www.adafruit.com/products/1201,2PIN-VIBE,Adafruit,1201,Adafruit,1201,2,No
283,J,CAN-BUS SHIELD ,ARDUINOSHIELD,,,ARDUINOSHIELD,Sparkfun,DEV-13262,Sparkfun,DEV-13262,1,No
284,-,CONDUCTIVE THREAD STAINLESS STEEL 0.12MM,-,,-,-,Sparkfun,DEV-13814,Sparkfun,DEV-13814,1,No
285,J,CONN FEMALE DB9 SERIAL TH 9PIN,DB9-FEMALE,,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1734354&DocType=Customer+Drawing&DocLang=English,DB9-FEMALE,TE Conn,1734354-1 ,Digikey, A35107-ND ,0,No
286,,CONN MALE DB9 SERIAL TH 9PIN,DB9-MALE,,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1634580&DocType=Customer+Drawing&DocLang=English,DB9-MALE,TE Conn,1-1634580-2 ,Digikey, A109020-ND ,0,No
287,-,OBD-II TO DB9 CABLE,-,,https://www.sparkfun.com/products/10087,-,Sparkfun,CAB-10087,Sparkfun,CAB-10087,0,No
288,-,TEST CLIP 8PIN SOIC,-,,http://www.pomonaelectronics.com/pdf/d5250-54_5437_1_01.pdf,-,Pomona,5250 ,Digikey, 501-1311-ND ,0,No
289,C, CAP CER 560PF 50V X7R 0402 ,560pF 50V,,http://www.samsungsem.com/kr/support/product-search/mlcc/CL05B561KB5NNNC.jsp,0402,Samsung,CL05B561KB5NNNC,Digikey, 1276-1577-1-ND ,,No
290,C, CAP CER 0.1UF 35V X7R 0402 ,100nF 35V,,https://product.tdk.com/info/en/documents/chara_sheet/C1005X7R1V104K050BB.pdf,0402,Samsung,C1005X7R1V104K050BB,Digikey, 445-7344-1-ND ,,No
291,C, CAP CER 470PF 50V X7R 0402 ,470pF 50V,,http://www.samsungsem.com/kr/support/product-search/mlcc/CL05B471KB5NNNC.jsp,0402,Samsung,CL05B471KB5NNNC ,Digikey, 1276-1566-1-ND ,,No
292,C, CAP CER 1UF 35V X5R 0402 ,1uF 35V,,https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R1V105K050BC.pdf,0402,TDK,C1005X5R1V105K050BC,Digikey, 445-9073-1-ND ,,No
293,D, DIODE GEN PURP 75V 250MA SOD323 ,75V 250mA,,http://www.vishay.com/docs/85752/bas16ws.pdf,SOD323,Vishay, BAS16WS-E3-08 ,Digikey, BAS16WS-E3-08CT-ND ,,No
294,D, DIODE SCHOTTKY 40V 1A SMA ,40V 1A,,http://www.vishay.com/docs/94301/vs-mbra140trpbf.pdf,SMA,Vishay,VS-MBRA140TRPBF ,Digikey, VS-MBRA140TRPBFCT-ND ,,No
295,U, IC QUAD DIFF COMPARATOR 14-TSSOP ,LM339PWR,,http://www.ti.com/lit/ds/symlink/lm139a.pdf,TSSOP14,TI,LM339PWR,Digikey, 296-6607-1-ND ,,No
296,U, IC TRANSCEIVER CAN HI-SPD 8-SOIC , MCP2551,,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en011797,SOIC8,Microchip, MCP2551-I/SN ,Digikey, MCP2551-I/SN-ND ,,No
297,Q, TRANS NPN 40V 0.6A SOT23 ,MMBT2222,,http://www.onsemi.com/pub_link/Collateral/MMBT2222LT1-D.PDF,SOT23-3,ON Semi,MMBT2222ALT1G,Digikey, MMBT2222ALT1GOSCT-ND ,,No
298,Q, MOSFET P-CH 60V 0.9A SOT23-3 ,ZXMP6A13F,,http://www.diodes.com/_files/datasheets/ZXMP6A13F.pdf,SOT23-3,Diodes Inc,ZXMP6A13FTA,Digikey, ZXMP6A13FCT-ND ,,No
299,Q, MOSFET N-CH 50V 220MA SOT-23 ,BSS138,,http://www.fairchildsemi.com/datasheets/BS/BSS138.pdf,SOT23-3,Fairchild,BSS138,Digikey, BSS138CT-ND ,,No
300,R, RES SMD 510 OHM 5% 1/2W 2010 ,510,,http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr.pdf,2010,Rohm Semi,MCR50JZHJ511,Digikey, RHM510BGCT-ND ,,No
301,R, RES SMD 10K OHM 1% 1/10W 0402 ,10K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ2RKF1002X+7+WW,0402,Panasonic, ERJ-2RKF1002X ,Digikey, P10.0KLCT-ND ,,No
302,R, RES SMD 1K OHM 1% 1/10W 0402 ,1K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ2RKF1001X+7+WW,0402,Panasonic, ERJ-2RKF1001X ,Digikey, P1.00KLCT-ND ,,No
303,R, RES SMD 100 OHM 1% 1/10W 0402 ,100nF 35V,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ2RKF1000X+7+WW,0402,Panasonic, ERJ-2RKF1000X ,Digikey, P100LCT-ND ,,No
304,R, RES SMD 4.7K OHM 1% 1/10W 0402 ,4.7K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ2RKF4701X+7+WW,0402,Panasonic, ERJ-2RKF4701X ,Digikey, P4.70KLCT-ND ,,No
305,R, RES SMD 1.5K OHM 1% 1/10W 0402 ,1.5K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ2RKF1501X+7+WW,0402,Panasonic, ERJ-2RKF1501X ,Digikey, P1.50KLCT-ND ,,No
306,R, RES SMD 240 OHM 1% 1/10W 0402 ,240,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ2RKF2400X+7+WW,0402,Panasonic, ERJ-2RKF2400X ,Digikey, P240LCT-ND ,,No
307,R, RES SMD 866 OHM 1% 1/10W 0402 ,866,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ2RKF8660X+7+WW,0402,Panasonic, ERJ-2RKF8660X ,Digikey, P866LCT-ND ,,No
308,R, RES SMD 374 OHM 1% 1/10W 0402 ,374,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ2RKF3740X+7+WW,0402,Panasonic, ERJ-2RKF3740X ,Digikey, P374LCT-ND ,,No
309,R, RES SMD 1.2K OHM 1% 1/10W 0402 ,1.2K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ2RKF1201X+7+WW,0402,Panasonic, ERJ-2RKF1201X ,Digikey, P1.20KLCT-ND ,,No
310,R, RES SMD 330 OHM 1% 1/10W 0402 ,330 ,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ2RKF3300X+7+WW,0402,Panasonic, ERJ-2RKF3300X ,Digikey, P330LCT-ND ,,No
311,R, RES SMD 62K OHM 1% 1/10W 0402 ,62K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ2RKF6202X+7+WW,0402,Panasonic, ERJ-2RKF6202X ,Digikey, P62.0KLCT-ND ,,No
312,U, IC REG LDO ADJ 0.5A DPAK ,LM317,,http://www.st.com/web/en/resource/technical/document/datasheet/CD00000549.pdf,DPAK,STM, LM317MDT-TR ,Digikey, 497-1574-1-ND ,,No
